,frequency
island,2.250983576721003
favorite,2.2820293270692247
shop,2.301165337627242
young,2.308304133202611
different,2.3375622553743254
character,2.350302448776555
drink,2.4492165690893355
bring,2.4875171354427907
free,2.4948447315494438
alley,2.4985822552552635
busy,2.546800207005978
able,2.5873555928570653
fantastic,2.609103288404973
fan,2.6525724686597765
plan,2.6525724686597765
islands,2.6779766784412775
shrek,2.6963210760765453
jurassic,2.8121666157059977
pay,2.8173034876460243
money,2.825132761703265
eat,2.866925368991254
look,2.87827764081806
bit,2.9077989085747924
small,2.9423783472693374
transformers,2.951255384040252
trip,2.9719938461322783
especially,2.9840900710369644
adult,2.99933079697574
open,3.009086971921105
nice,3.0374717755117855
price,3.059348806701993
orlando,3.07331656870704
miss,3.0769345865544953
staff,3.132030358136798
movie,3.144606588799272
find,3.154246700373906
use,3.1614863638076263
age,3.164188787237973
sure,3.2163150679294152
little,3.217851335103065
child,3.2209309679813813
way,3.22247434828995
awesome,3.230004837918586
crowd,3.24681949256952
stay,3.2609363025950806
feel,3.268994363924843
big,3.305002489846294
definitely,3.334427105069273
try,3.3450958577953402
expensive,3.3589099667072846
singapore,3.365252750879387
think,3.369588939283139
water,3.3819347751054383
disney,3.3829705079789703
fast,3.4212590132859875
early,3.427469374815104
people,3.452426106788972
new,3.4591132311788293
studio,3.4644391022120664
area,3.4655639617232503
minute,3.4823043157699365
old,3.4949736473398434
need,3.499038693588013
thing,3.5205069493450085
come,3.520804258697577
roller,3.5327697020832525
walk,3.5400182992092657
want,3.5451846987878106
adventure,3.553752682658864
recommend,3.5568305552025437
hour,3.5617749410480073
transformer,3.562084778385885
theme,3.6122859158181106
coaster,3.614242863605072
spend,3.631033381518063
buy,3.6474354228642816
world,3.6487863180376374
mummy,3.650816088693924
amazing,3.657611901460396
family,3.6696168475572195
queue,3.672727269971612
experience,3.684565848347736
ticket,3.6873718831598095
attraction,3.69938616194799
kid,3.7047328152124206
worth,3.7086719429558985
food,3.7286037497471662
lot,3.728969848964142
long,3.73447748175926
line,3.74968831110774
express,3.7545599714827897
enjoy,3.762480058140715
love,3.7781262464282737
place,3.781593789875737
wait,3.7967603259731666
fun,3.807792746776743
potter,3.8105699753025313
harry,3.816947039560228
pass,3.8209534551756668
visit,3.8286101518602655
